business_id,name,categories,latitude,longitude
osm_V.M.R Hospital_hospital,V.M.R Hospital,hospital,17.4918932,78.3972265
osm_Mamata Fertility Hospital_hospital,Mamata Fertility Hospital,hospital,17.4396489,78.4991692
osm_Kishorechand Chordia Eye Centre_hospital,Kishorechand Chordia Eye Centre,hospital,17.3729437,78.4673019
osm_Praja Sai Hospital_hospital,Praja Sai Hospital,hospital,17.4073263,78.492862
osm_Ram Hospital_hospital,Ram Hospital,hospital,17.5160805,78.4476453
osm_Soorya Orthopaedic Hospital_hospital,Soorya Orthopaedic Hospital,hospital,17.4738034,78.5692647
osm_Smiline Dental Hospital_hospital,Smiline Dental Hospital,hospital,17.429802,78.4487075
osm_Sushma Nursing Home_hospital,Sushma Nursing Home,hospital,17.494399,78.4020397
osm_Ratna Maternity and Nursing Home_hospital,Ratna Maternity and Nursing Home,hospital,17.3534936,78.5068591
osm_Kishan Rao Hospital_hospital,Kishan Rao Hospital,hospital,17.3942993,78.5079373
osm_Thatha Hospital_hospital,Thatha Hospital,hospital,17.4769771,78.5627764
osm_Sudarshan Hospital_hospital,Sudarshan Hospital,hospital,17.4142,78.5021076
osm_Kid Care Children's Hospital_hospital,Kid Care Children's Hospital,hospital,17.4841162,78.4488925
osm_Vijaya Nursing Home_hospital,Vijaya Nursing Home,hospital,17.4956729,78.3250616
osm_Dangoria Maternity and Nursing Home_hospital,Dangoria Maternity and Nursing Home,hospital,17.4077787,78.4975089
osm_Sainath Hospital_hospital,Sainath Hospital,hospital,17.4390949,78.4406662
osm_C.C. Shroff Memorial Hospital_hospital,C.C. Shroff Memorial Hospital,hospital,17.3908042,78.4965339
osm_Hyderabad Kidney And Laparoscopic Centre_hospital,Hyderabad Kidney And Laparoscopic Centre,hospital,17.3717457,78.5005935
osm_Sadanand Nursing Home_hospital,Sadanand Nursing Home,hospital,17.4406252,78.4242403
osm_Kosaraju Hospitals Private Ltd._hospital,Kosaraju Hospitals Private Ltd.,hospital,17.3755381,78.4190255
osm_Dr. Laxman's Children Hospital_hospital,Dr. Laxman's Children Hospital,hospital,17.5160364,78.4472698
osm_Maternal Health and Research Trust_hospital,Maternal Health and Research Trust,hospital,17.4240881,78.4317076
osm_Meda Hospital Pvt. Ltd_hospital,Meda Hospital Pvt. Ltd,hospital,17.4837017,78.5373142
osm_Nisha Hospital_hospital,Nisha Hospital,hospital,17.3944196,78.4626817
"osm_Aditya Hospital, Uppal_hospital","Aditya Hospital, Uppal",hospital,17.4017218,78.5756557
osm_Medicare Hospital_hospital,Medicare Hospital,hospital,17.3403283,78.5495599
osm_Dr.Agarwal's Eye Hospital_hospital,Dr.Agarwal's Eye Hospital,hospital,17.4298167,78.4506487
osm_Goshamahal Hospital_hospital,Goshamahal Hospital,hospital,17.3818518,78.4727287
osm_Niyar Nursing Home_hospital,Niyar Nursing Home,hospital,17.3313005,78.4879965
osm_Shalini Hospitals_hospital,Shalini Hospitals,hospital,17.3925332,78.4957641
